"year","T_prev_May","T_prev_Jun","T_prev_Jul","T_prev_Aug","T_prev_Sep","T_prev_Oct","T_prev_Nov","T_prev_Dec","T_Jan","T_Feb","T_Mar","T_Apr","P_prev_May","P_prev_Jun","P_prev_Jul","P_prev_Aug","P_prev_Sep","P_prev_Oct","P_prev_Nov","P_prev_Dec","P_Jan","P_Feb","P_Mar","P_Apr"
1983,78.9,81,83.6,88,79.5,72.9,63.3,53.1,48.4,48.5,54.4,71.1,3.86,4.53,11.89,11.95,3.41,0.79,4.63,1.5,1.77,1.71,5.41,8.46
1984,78,80.9,86.8,92.4,82.5,71,61,49.7,43,43.4,50.1,64.9,6.04,10.47,9.94,4.65,19.94,5.31,1.24,0.94,1.83,2.74,1.97,2.72
1985,75.6,82.8,88.4,93.3,82.7,71.3,63.4,51.8,45.4,48.9,55,69.3,3.84,11.52,7.64,3.56,4.65,2.09,1.38,1.79,0.49,4.53,7.5,6.99
1986,77.4,79.2,90,93.9,84.7,73.1,60.9,49.8,45.1,44.4,54.6,67.8,4.15,15.33,9.13,0.47,8.33,1.89,2.64,1.5,0.57,1.18,5.98,4.98
1987,73.7,81.5,86.5,91.8,84.8,69.8,60.9,53.9,48.5,50.1,54.7,67.9,9.04,10.37,16.63,0.93,2.19,2.91,0.75,2.7,2.7,1.75,4.11,1.81
1988,75.5,84.2,89,91.8,83.3,74.6,63,54.3,50.4,46.7,53.5,66.6,6.42,5.91,14.39,1.44,4.57,4.35,1.95,0.61,1.42,0.98,4.94,3.48
1989,75.1,81,85.2,89.5,83.2,70.8,59.1,51.4,50.7,50.9,55.5,69.1,6.93,15.12,8.41,5.28,5.24,2.74,1.93,0.67,4.76,7.19,3.98,4.11
1990,73.7,79.8,86.3,89.4,82.8,72.3,63.8,52.7,47,53.1,58.5,66.7,7.72,7.3,5.49,9.8,18.86,1.59,1.18,0.73,NA,NA,NA,NA
1991,75.1,84.5,90.2,94.2,84.7,73,65.7,53.8,47.9,47.3,57.2,68.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,74.7,82.7,88.2,89.7,85.2,71.5,61.9,NA,50.6,49,57,67.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,72.9,80.6,88.2,89.6,83.2,72.9,62.2,NA,48.8,51.5,54.8,66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,75.9,80.3,83.5,86.6,79.8,71,63.8,52.4,48.7,48.1,53.7,70.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,78,83,94.5,96.4,87.3,76.1,65,53.7,47.2,49.2,56.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,74.7,78.4,NA,96.1,81.4,74.2,NA,NA,48.2,47.3,54.4,63.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,75.8,81.4,90.9,91.6,80.4,72.2,62.3,53.8,48.2,49.5,58.5,67.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,76.6,83.3,86.8,92.3,83.1,72.8,64.8,NA,48.3,53.3,59.4,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,79.6,81.1,89.7,92.7,85.3,75.7,63.3,55.7,49.2,49.2,57.9,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,81.6,87.7,91.1,87.6,75.4,63.5,53,49.9,46.1,55.2,65.6,NA,20.87,4.7,4.6,NA,NA,NA,NA,NA,NA,NA,NA
2001,79.2,82.4,92.4,94.8,NA,73.7,64.3,53.3,46.3,49.7,56.9,69.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,77.8,83.7,93.5,NA,NA,74.1,62.5,52,49.8,51.9,62,72.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,76.1,82.3,92,92.4,84.4,73.7,58.5,51.9,46.3,50,54.6,68.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,76.8,80.9,83.7,90.6,85.7,72.1,65.4,52.9,47.9,53.9,58,71.7,NA,NA,NA,NA,NA,NA,7.52,1.39,0.69,2.11,2.98,5.42
2006,78,84.8,NA,NA,85.8,72.4,65.6,55.8,46.8,50.6,54.6,63.5,7.83,6.64,2.41,9.83,8.29,10.56,2.82,3.69,1.57,3.8,4.87,5.31
2007,75.5,83.7,86.9,94.8,83.3,75.8,64.7,52.9,50.9,54.9,57.5,66.8,6.32,7.21,14.91,1.66,5.93,3.59,2.81,4.26,0.87,2.7,3.09,0.92
2008,76.4,82.7,85.7,94.6,87.9,74.8,62.7,54,47.7,46.9,59.3,67.6,6.14,6.28,9.85,3.72,4.96,3.72,0.93,3.63,1.86,1.87,4.84,7.01
2009,77.3,80.5,93.3,91.6,84.3,74.8,62.3,54.8,49,51.9,57.5,69,7.72,7.53,3.88,3.46,7.96,5.05,2.62,2,3.24,5.31,4.47,3.45
2010,76.5,84.4,88,89.7,83.6,73.9,62.9,52.9,48.9,52.3,55.9,63.5,4.22,4.51,12.88,4.25,1.7,5.52,6.17,1.67,1.14,5.53,6.58,7.53
2011,75,83.8,91.3,95.2,87.9,75.2,62,53.5,NA,53.4,54,66.4,4.06,6.97,16.78,6.89,8.45,4.6,2.46,3.78,0.79,3.01,2.52,4.21
